Maturity,Strike,Call,Put
0.5714,385.0,135.425,2.625
0.5714,390.0,130.75,2.875
0.5714,395.0,126.15,3.175
0.5714,400.0,121.375,3.475
0.5714,405.0,116.85,3.875
0.5714,410.0,112.475,4.25
0.5714,415.0,108.0,4.675
0.5714,420.0,103.45,5.175
0.5714,425.0,99.175,5.7
0.5714,430.0,94.65,6.275
0.5714,435.0,90.325,6.95
0.5714,440.0,86.0,7.625
0.5714,445.0,81.925,8.4
0.5714,450.0,77.725,9.25
0.5714,455.0,73.7,10.2
0.5714,460.0,69.8,11.2
0.5714,465.0,66.05,12.3
0.5714,470.0,62.375,13.5
0.5714,475.0,58.5,14.825
0.5714,480.0,55.225,16.2
0.5714,485.0,51.825,17.725
0.5714,490.0,48.5,19.375
0.5714,495.0,45.3,21.15
0.5714,500.0,42.2,23.05
0.5714,505.0,39.25,25.075
0.5714,510.0,36.425,27.225
0.5714,515.0,33.7,29.55
0.5714,520.0,31.125,32.0
0.5714,525.0,28.7,35.55
0.5714,530.0,26.375,37.3
0.5714,535.0,24.175,40.15
0.5714,540.0,22.15,43.175
0.5714,545.0,20.225,46.325
0.5714,550.0,18.425,49.875
0.5714,555.0,16.725,53.275
0.5714,560.0,15.175,56.95
0.5714,565.0,13.775,60.575
0.5714,570.0,12.45,64.4
0.5714,575.0,11.25,68.45
0.5714,580.0,10.125,72.475
0.5714,585.0,9.125,76.65
0.5714,590.0,8.2,80.925
0.5714,595.0,7.375,85.35
0.5714,600.0,6.25,89.85
0.5714,605.0,5.95,94.45
0.5714,610.0,5.35,99.35
0.5714,615.0,4.8,104.375
0.5714,620.0,4.35,
0.5714,625.0,3.875,
0.5714,630.0,3.5,
0.5714,635.0,3.125,
0.5714,640.0,2.84,
0.5714,645.0,2.48,
0.5714,650.0,2.315,
0.5714,655.0,2.1,
0.5714,660.0,1.89,
0.5714,665.0,1.725,
0.5714,670.0,1.57,
0.5714,675.0,1.43,
0.5714,680.0,1.3,
0.5714,700.0,0.89,
0.5714,720.0,0.62,
0.6825,175.0,339.05,0.055
0.6825,180.0,334.125,0.04
0.6825,185.0,270.675,0.05
0.6825,190.0,324.3,0.07
0.6825,195.0,200.75,0.055
0.6825,200.0,314.475,0.065
0.6825,210.0,0.0,0.085
0.6825,220.0,294.8,0.13
0.6825,230.0,227.6,0.145
0.6825,240.0,276.0,0.125
0.6825,250.0,266.1,0.15
0.6825,260.0,256.575,0.225
0.6825,270.0,246.525,0.285
0.6825,280.0,236.775,0.37
0.6825,290.0,227.15,0.72
0.6825,300.0,217.475,0.655
0.6825,310.0,207.975,0.965
0.6825,320.0,198.175,1.05
0.6825,330.0,188.6,1.27
0.6825,340.0,179.025,1.52
0.6825,350.0,169.575,1.82
0.6825,360.0,160.125,2.18
0.6825,370.0,150.725,2.6
0.6825,380.0,141.35,3.1
0.6825,390.0,132.35,3.725
0.6825,400.0,123.15,4.45
0.6825,405.0,118.4,4.875
0.6825,410.0,114.175,5.325
0.6825,415.0,109.7,5.875
0.6825,420.0,105.475,6.425
0.6825,425.0,101.175,7.025
0.6825,430.0,96.925,7.675
0.6825,435.0,92.75,8.4
0.6825,440.0,88.625,9.2
0.6825,445.0,84.55,10.25
0.6825,450.0,80.575,11.225
0.6825,455.0,76.65,12.0
0.6825,460.0,72.825,13.075
0.6825,465.0,69.05,14.5
0.6825,470.0,65.375,15.525
0.6825,475.0,61.725,17.35
0.6825,480.0,58.35,18.8
0.6825,485.0,54.95,19.9
0.6825,490.0,51.675,21.575
0.6825,495.0,48.525,23.35
0.6825,500.0,45.45,25.225
0.6825,505.0,42.5,27.275
0.6825,510.0,39.725,29.45
0.6825,515.0,37.025,31.725
0.6825,520.0,34.425,34.15
0.6825,525.0,31.975,37.225
0.6825,530.0,29.6,39.8
